id,object_name,initialization_time_ms,processing_time_ms,running_time_ms,rendering_time_ms,mesh_extraction_time_ms,mesh_export_time_ms,total_time_ms,chunk_size,mc_resolution,timestamp
3,bicycle/000000_vespa_scooter_bicycle.png_4096_128,5080.87,471.6,1292.12,13817.39,192.64,2.99,20857.61,4096,128,2024-09-13 09:04:54.711111
4,bicycle/000000_vespa_scooter_bicycle.png_8192_128,5639.9,468.47,1450.9,10122.49,143.38,3.56,17828.700000000004,8192,128,2024-09-13 09:17:06.836618
5,bicycle/000000_vespa_scooter_bicycle.png_8192_256,4149.98,393.82,978.57,10129.57,955.96,9.53,16617.429999999997,8192,256,2024-09-13 09:17:26.052992
6,bicycle/000000_vespa_scooter_bicycle.png_10240_128,4858.44,389.04,996.45,9506.63,121.24,3.13,15874.929999999997,10240,128,2024-09-13 09:17:43.981416
7,bicycle/000000_vespa_scooter_bicycle.png_10240_256,3980.55,397.77,962.76,9555.23,906.28,8.62,15811.210000000001,10240,256,2024-09-13 09:18:01.897416
8,bicycle/000001_bicycle_sport_bike.png_8192_128,3615.34,374.57,961.11,10082.85,121.36,2.8,15158.03,8192,128,2024-09-13 09:18:19.10961
9,bicycle/000001_bicycle_sport_bike.png_8192_256,3784.89,370.16,958.91,10007.36,934.93,7.61,16063.86,8192,256,2024-09-13 09:18:37.293128
10,bicycle/000001_bicycle_sport_bike.png_10240_128,4023.75,369.17,961.49,9466.77,123.32,3.58,14948.08,10240,128,2024-09-13 09:18:54.325775
11,bicycle/000001_bicycle_sport_bike.png_10240_256,3646,367.64,966.55,9490.36,882.25,8.29,15361.09,10240,256,2024-09-13 09:19:11.820842
12,car/000001_car_vehicle_auto_8192_128,5105.57,485.22,1362.43,10041.05,142.17,2.66,17139.1,8192,128,2024-09-13 17:18:43.506482
13,car/000001_car_vehicle_auto_8192_128,4732.61,501.09,1408.43,9977.4,126.72,3.29,16749.54,8192,128,2024-09-13 17:23:29.550557
14,000001_car_vehicle_auto_8192_128,5603.92,479.85,1162.34,10005.3,123.01,2.78,17377.199999999997,8192,128,2024-09-13 17:26:17.954579
15,000001_car_vehicle_auto_8192_128,4975.2,485.59,1438.5,10068.23,136.24,1.74,17105.500000000004,8192,128,2024-09-13 17:28:18.318664
16,000003_us car_old_vintage_8192_128,4546.43,465.86,1031.25,10056.86,139.02,1.94,16241.360000000002,8192,128,2024-09-13 17:28:36.737145
,,,,,,,,,,,
,,,,,,,,,,,
,12288,,,,,,,,,,
,64,,,,,,,,,,
